websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW838,WW838,,WW838,Master,WW838,,"stucco, plaster, gesso",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW838_web.jpg,25.65,Yard,1,4,Faux Finish,White,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW839,WW839,,WW839,Master,WW839,,"wood, woodgrain, faux, veneer, wood plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW839_web.jpg,25.65,Yard,1,4,Faux Finish,Blue,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW840,WW840,,WW840,Master,WW840,,"brush strokes, plaid, painterly",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW840_web.jpg,25.65,Yard,1,4,Faux Finish,"Blue, Silver",,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW841,WW841,,WW841,Master,WW841,,"brush strokes, plaid, painterly",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW841_web.jpg,25.65,Yard,1,4,Faux Finish,Pink,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW842,WW842,,WW842,Master,WW842,,"brick, bricks",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW842_web.jpg,25.65,Yard,1,4,Faux Finish,White,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW843,WW843,,WW843,Master,WW843,,"brick, bricks, stone, tile, slate, tiles",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW843_web.jpg,25.65,Yard,1,4,Faux Finish,Grey,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW844,WW844,,WW844,Master,WW844,,"brick, bricks, stone, tile, slate, tiles, flagstone, wall, stonewall",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW844_web.jpg,25.65,Yard,1,4,Faux Finish,Grey,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW845,WW845,,WW845,Master,WW845,,"brick, bricks",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW845_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW846,WW846,,WW846,Master,WW846,,"brick, bricks",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW846_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW847,WW847,,WW847,Master,WW847,,"brick, bricks",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW847_web.jpg,25.65,Yard,1,4,Faux Finish,Multi,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW848,WW848,,WW848,Master,WW848,,"brick, bricks",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW848_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW849,WW849,,WW849,Master,WW849,,"brick, bricks",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW849_web.jpg,25.65,Yard,1,4,Faux Finish,Multi,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW850,WW850,,WW850,Master,WW850,,"brick, bricks, stone, tile, slate, tiles, flagstone, wall, stonewall",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW850_web.jpg,25.65,Yard,1,4,Faux Finish,Grey,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW851,WW851,,WW851,Master,WW851,,"terrazo, travertine, sandstone, limestone, stone",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW851_web.jpg,25.65,Yard,1,4,Faux Finish,Beige,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
