websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E51041,E51041,,E51041,Master,E51041,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E51041_web.jpg,157.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E51042,E51042,,E51042,Master,E51042,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E51042_web.jpg,157.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5683,E5683,,E5683,Master,E5683,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5683_web.jpg,157.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5684,E5684,,E5684,Master,E5684,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5684_web.jpg,157.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5688,E5688,,E5688,Master,E5688,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5688_web.jpg,155.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5689,E5689,,E5689,Master,E5689,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5689_web.jpg,153.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5690,E5690,,E5690,Master,E5690,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5690_web.jpg,155.98,Roll,1,1,Textural,Green,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5691,E5691,,E5691,Master,E5691,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5691_web.jpg,157.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5692,E5692,,E5692,Master,E5692,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5692_web.jpg,157.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5693,E5693,,E5693,Master,E5693,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5693_web.jpg,155.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5694,E5694,,E5694,Master,E5694,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5694_web.jpg,155.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5780,E5780,,E5780,Master,E5780,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5780_web.jpg,157.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5781,E5781,,E5781,Master,E5781,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5781_web.jpg,157.98,Roll,1,1,Textural,Red,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E5782,E5782,,E5782,Master,E5782,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E5782_web.jpg,157.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
