design_sku,roll_length_feet
2809-SH01237,33
2809-SH01238,33
2809-SH01249,33
2809-SH01251,33
2809-SH01254,33
2809-XSS0101,33
2809-XSS0102,33
2809-XSS0103,33
2809-XSS0104,33
2809-XSS0105,33
2809-XSS0301,33
2809-XSS0303,33
2809-XSS0307,33
2809-XSS0308,33
